From,To,Length(m),Azimuth(deg),Clino(deg)
1.25@mountaineye1.Mountaineye,1.26@mountaineye1.Mountaineye,12.02,58.12,-0.73
1.26@mountaineye1.Mountaineye,-,1.52,145.52,79.00
1.26@mountaineye1.Mountaineye,-,2.86,271.09,-64.80
1.26@mountaineye1.Mountaineye,-,0.82,142.12,-15.61
1.26@mountaineye1.Mountaineye,-,1.80,310.35,-26.56
1.26@mountaineye1.Mountaineye,1.27@mountaineye1.Mountaineye,11.08,61.43,-4.38
1.27@mountaineye1.Mountaineye,-,3.44,35.87,74.76
1.27@mountaineye1.Mountaineye,-,2.20,349.54,-64.33
1.27@mountaineye1.Mountaineye,-,1.69,154.63,44.63
1.27@mountaineye1.Mountaineye,-,2.40,344.36,0.55
1.27@mountaineye1.Mountaineye,-,7.54,6.70,-32.93
1.27@mountaineye1.Mountaineye,1.28@mountaineye1.Mountaineye,11.88,53.02,-0.58
1.28@mountaineye1.Mountaineye,-,2.65,133.27,83.22
1.28@mountaineye1.Mountaineye,-,2.72,322.48,-63.74
1.28@mountaineye1.Mountaineye,-,2.54,334.98,4.78
1.28@mountaineye1.Mountaineye,-,1.66,134.75,38.62
1.28@mountaineye1.Mountaineye,-,4.13,251.47,-10.84
1.28@mountaineye1.Mountaineye,1.29@mountaineye1.Mountaineye,18.56,50.70,-1.60
1.29@mountaineye1.Mountaineye,-,4.63,22.37,86.64
1.29@mountaineye1.Mountaineye,-,1.67,339.50,-63.14
1.29@mountaineye1.Mountaineye,-,0.75,151.48,38.52
1.29@mountaineye1.Mountaineye,-,10.16,231.54,0.36
1.29@mountaineye1.Mountaineye,-,1.71,318.05,-8.96
1.29@mountaineye1.Mountaineye,-,5.03,340.05,30.92
1.29@mountaineye1.Mountaineye,1.30@mountaineye1.Mountaineye,10.55,43.97,3.88
1.30@mountaineye1.Mountaineye,-,2.14,123.73,76.33
1.30@mountaineye1.Mountaineye,-,2.43,93.79,-56.78
1.30@mountaineye1.Mountaineye,-,2.21,152.97,-5.22
1.30@mountaineye1.Mountaineye,-,1.82,4.21,60.63
1.30@mountaineye1.Mountaineye,1.31@mountaineye1.Mountaineye,4.61,70.79,-6.89
1.31@mountaineye1.Mountaineye,-,3.25,198.38,-29.09
1.31@mountaineye1.Mountaineye,-,0.62,359.47,9.14
1.31@mountaineye1.Mountaineye,-,2.47,207.89,-6.24
1.31@mountaineye1.Mountaineye,-,3.14,164.63,-9.14
1.31@mountaineye1.Mountaineye,1.32@mountaineye1.Mountaineye,11.29,188.40,1.94
1.32@mountaineye1.Mountaineye,-,1.95,325.31,83.17
1.32@mountaineye1.Mountaineye,-,5.14,219.79,-70.27
1.32@mountaineye1.Mountaineye,-,0.30,116.23,1.27
1.32@mountaineye1.Mountaineye,-,2.21,286.18,6.21
1.32@mountaineye1.Mountaineye,-,1.26,276.74,-59.08
1.32@mountaineye1.Mountaineye,1.33@mountaineye1.Mountaineye,10.25,196.92,0.52
1.33@mountaineye1.Mountaineye,-,3.94,105.05,81.16
1.33@mountaineye1.Mountaineye,-,1.58,83.53,-50.49
1.33@mountaineye1.Mountaineye,-,0.60,301.52,9.02
1.33@mountaineye1.Mountaineye,-,2.59,92.47,-5.52
1.33@mountaineye1.Mountaineye,-,4.38,134.50,-2.08
1.33@mountaineye1.Mountaineye,-,7.09,117.92,-2.54
1.33@mountaineye1.Mountaineye,1.34@mountaineye1.Mountaineye,9.78,108.77,1.59
1.34@mountaineye1.Mountaineye,-,3.99,217.92,78.73
1.34@mountaineye1.Mountaineye,-,1.51,251.10,-76.82
1.34@mountaineye1.Mountaineye,-,2.13,252.60,-6.41
1.34@mountaineye1.Mountaineye,1.35@mountaineye1.Mountaineye,12.61,174.90,0.92
1.35@mountaineye1.Mountaineye,-,3.68,208.52,84.56
1.35@mountaineye1.Mountaineye,-,1.59,342.09,-86.92
1.35@mountaineye1.Mountaineye,-,0.94,75.00,-37.12
1.35@mountaineye1.Mountaineye,-,2.21,249.60,2.15
1.35@mountaineye1.Mountaineye,1.36@mountaineye1.Mountaineye,6.32,158.34,1.38
1.36@mountaineye1.Mountaineye,-,2.87,63.66,73.03
1.36@mountaineye1.Mountaineye,-,1.97,337.48,-78.00
1.36@mountaineye1.Mountaineye,-,0.85,261.90,-49.99
1.36@mountaineye1.Mountaineye,-,2.21,66.57,-1.75
1.36@mountaineye1.Mountaineye,-,4.19,162.97,-51.69
1.36@mountaineye1.Mountaineye,1.37@mountaineye1.Mountaineye,7.57,153.67,-1.55
1.37@mountaineye1.Mountaineye,-,2.55,130.40,87.42
1.37@mountaineye1.Mountaineye,-,1.67,54.26,-72.75
1.37@mountaineye1.Mountaineye,-,0.52,238.28,-13.33
1.37@mountaineye1.Mountaineye,-,2.30,46.95,-0.48
1.37@mountaineye1.Mountaineye,1.38@mountaineye1.Mountaineye,7.10,109.75,-0.79
1.38@mountaineye1.Mountaineye,-,2.88,210.57,69.92
1.38@mountaineye1.Mountaineye,-,2.34,238.80,-44.13
1.38@mountaineye1.Mountaineye,-,0.54,36.96,-0.88
1.38@mountaineye1.Mountaineye,-,2.62,242.64,-3.56
1.38@mountaineye1.Mountaineye,1.39@mountaineye1.Mountaineye,10.07,187.35,1.43
1.39@mountaineye1.Mountaineye,-,2.81,8.20,76.99
1.39@mountaineye1.Mountaineye,-,2.09,13.87,-69.38
1.39@mountaineye1.Mountaineye,-,3.79,15.74,0.66
1.39@mountaineye1.Mountaineye,-,1.98,122.19,-7.75
1.39@mountaineye1.Mountaineye,-,2.53,290.88,5.95
1.39@mountaineye1.Mountaineye,1.40@mountaineye1.Mountaineye,9.93,193.85,1.62
1.40@mountaineye1.Mountaineye,-,2.46,53.92,73.63
1.40@mountaineye1.Mountaineye,-,2.03,41.05,-64.82
1.40@mountaineye1.Mountaineye,-,0.85,241.19,-37.75
1.40@mountaineye1.Mountaineye,-,2.50,48.96,-9.42
1.40@mountaineye1.Mountaineye,-,3.36,27.79,-9.65
1.40@mountaineye1.Mountaineye,-,3.09,85.26,-4.82
1.40@mountaineye1.Mountaineye,1.41@mountaineye1.Mountaineye,4.22,91.21,-1.35
1.41@mountaineye1.Mountaineye,-,4.29,175.36,66.09
1.41@mountaineye1.Mountaineye,-,1.78,151.15,-72.48
1.41@mountaineye1.Mountaineye,-,2.30,171.21,-1.71
1.41@mountaineye1.Mountaineye,-,0.73,347.64,-34.91
1.41@mountaineye1.Mountaineye,1.42@mountaineye1.Mountaineye,11.43,64.08,0.98
1.42@mountaineye1.Mountaineye,-,2.40,141.92,74.99
1.42@mountaineye1.Mountaineye,-,1.75,149.67,-68.57
1.42@mountaineye1.Mountaineye,-,0.58,320.50,-15.63
1.42@mountaineye1.Mountaineye,-,1.75,144.47,-2.71
1.42@mountaineye1.Mountaineye,-,4.46,235.82,-2.77
1.42@mountaineye1.Mountaineye,1.43@mountaineye1.Mountaineye,4.86,61.82,3.46
1.43@mountaineye1.Mountaineye,-,1.59,316.45,62.14
1.43@mountaineye1.Mountaineye,-,1.96,170.70,-87.78
1.43@mountaineye1.Mountaineye,-,1.82,320.42,-10.63
1.43@mountaineye1.Mountaineye,-,0.32,138.18,-4.24
1.43@mountaineye1.Mountaineye,-,5.21,339.82,-55.47
103.2@mountaineye1.Mountaineye,1.0@mountaineye1.Mountaineye,3.86,354.93,-73.50
103.1@mountaineye1.Mountaineye,103.2@mountaineye1.Mountaineye,7.72,127.73,0.43
103.0@mountaineye1.Mountaineye,103.1@mountaineye1.Mountaineye,4.12,142.43,-23.20
103.0@mountaineye1.Mountaineye,-,4.12,142.83,-23.10
103.0@mountaineye1.Mountaineye,103.1@mountaineye1.Mountaineye,4.12,142.73,-23.30
103.0@mountaineye1.Mountaineye,-,0.81,54.21,6.82
103.0@mountaineye1.Mountaineye,-,0.74,241.35,-11.18
103.0@mountaineye1.Mountaineye,-,0.83,359.44,73.33
103.0@mountaineye1.Mountaineye,-,0.27,168.68,-74.06
103.0@mountaineye1.Mountaineye,-,2.59,190.58,-24.33
103.0@mountaineye1.Mountaineye,-,2.92,157.56,-19.23
103.0@mountaineye1.Mountaineye,-,2.52,92.16,-6.21
103.0@mountaineye1.Mountaineye,-,2.92,119.69,-20.87
103.1@mountaineye1.Mountaineye,-,1.17,35.43,72.30
103.1@mountaineye1.Mountaineye,-,0.55,57.35,-57.73
103.1@mountaineye1.Mountaineye,-,0.53,76.56,6.37
103.1@mountaineye1.Mountaineye,-,0.29,176.61,-8.39
103.1@mountaineye1.Mountaineye,-,1.23,172.60,3.33
103.1@mountaineye1.Mountaineye,-,0.61,121.71,2.38
103.1@mountaineye1.Mountaineye,-,1.61,142.54,-3.90
103.1@mountaineye1.Mountaineye,-,2.33,131.92,1.59
103.1@mountaineye1.Mountaineye,-,2.81,132.32,-8.79
103.2@mountaineye1.Mountaineye,-,2.42,49.89,-17.29
103.2@mountaineye1.Mountaineye,-,1.07,327.49,73.40
103.2@mountaineye1.Mountaineye,-,1.44,347.12,-13.51
103.2@mountaineye1.Mountaineye,-,2.57,318.19,-2.75
103.2@mountaineye1.Mountaineye,-,2.18,256.14,10.64
103.2@mountaineye1.Mountaineye,-,4.68,304.56,7.36
103.2@mountaineye1.Mountaineye,-,3.37,293.28,5.08
103.2@mountaineye1.Mountaineye,-,4.91,311.11,-1.65
103.2@mountaineye1.Mountaineye,-,4.37,306.19,-0.57
103.2@mountaineye1.Mountaineye,-,1.46,283.23,-52.51
1.0@mountaineye1.Mountaineye,-,1.61,57.41,-2.35
1.0@mountaineye1.Mountaineye,-,1.37,349.24,1.36
1.0@mountaineye1.Mountaineye,-,0.73,85.74,-50.88
1.0@mountaineye1.Mountaineye,-,3.60,115.75,82.32
1.0@mountaineye1.Mountaineye,-,1.19,260.24,37.45
1.0@mountaineye1.Mountaineye,-,2.03,169.31,13.60
1.7@mountaineye1.Mountaineye,104.1@mountaineye1.Mountaineye,5.94,182.65,45.98
104.1@mountaineye1.Mountaineye,-,0.13,114.41,-12.77
104.1@mountaineye1.Mountaineye,-,1.40,344.10,74.31
104.1@mountaineye1.Mountaineye,-,5.93,324.58,-71.68
104.1@mountaineye1.Mountaineye,-,4.21,285.41,8.64
104.1@mountaineye1.Mountaineye,-,6.58,109.31,6.66
104.1@mountaineye1.Mountaineye,-,4.76,142.97,9.15
104.1@mountaineye1.Mountaineye,104.2@mountaineye1.Mountaineye,4.83,242.18,10.65
104.2@mountaineye1.Mountaineye,-,0.82,127.58,50.29
104.2@mountaineye1.Mountaineye,-,0.60,211.42,-63.43
104.2@mountaineye1.Mountaineye,-,3.09,341.92,-7.65
104.2@mountaineye1.Mountaineye,-,10.45,207.41,-0.19
104.2@mountaineye1.Mountaineye,104.3@mountaineye1.Mountaineye,12.26,255.36,-2.93
104.3@mountaineye1.Mountaineye,-,0.79,157.34,54.43
104.3@mountaineye1.Mountaineye,-,0.71,121.69,-47.18
104.3@mountaineye1.Mountaineye,-,6.67,150.75,9.50
104.3@mountaineye1.Mountaineye,-,0.42,343.53,-65.58
104.3@mountaineye1.Mountaineye,-,3.32,57.75,-0.99
104.3@mountaineye1.Mountaineye,104.4@mountaineye1.Mountaineye,11.79,224.42,1.10
104.4@mountaineye1.Mountaineye,-,1.28,57.03,59.62
104.4@mountaineye1.Mountaineye,-,0.36,67.08,-44.81
104.4@mountaineye1.Mountaineye,-,3.01,2.29,11.12
104.4@mountaineye1.Mountaineye,-,5.88,33.39,3.22
104.4@mountaineye1.Mountaineye,-,1.94,256.70,11.70
104.4@mountaineye1.Mountaineye,-,6.64,255.92,11.63
104.4@mountaineye1.Mountaineye,-,8.74,140.44,-3.08
104.4@mountaineye1.Mountaineye,104.5@mountaineye1.Mountaineye,9.14,219.94,1.73
104.5@mountaineye1.Mountaineye,-,0.67,222.85,86.79
104.5@mountaineye1.Mountaineye,-,1.04,124.21,-29.73
104.5@mountaineye1.Mountaineye,-,5.50,306.88,-1.55
104.5@mountaineye1.Mountaineye,-,7.49,254.35,4.33
104.5@mountaineye1.Mountaineye,-,8.38,163.87,-5.57
104.5@mountaineye1.Mountaineye,-,10.44,96.52,-2.99
104.5@mountaineye1.Mountaineye,-,6.54,48.59,-5.41
104.5@mountaineye1.Mountaineye,104.6@mountaineye1.Mountaineye,22.85,225.54,0.82
104.6@mountaineye1.Mountaineye,-,6.90,339.45,-11.52
104.6@mountaineye1.Mountaineye,-,11.40,37.40,-1.49
104.6@mountaineye1.Mountaineye,-,6.22,72.84,-4.22
104.6@mountaineye1.Mountaineye,-,0.34,86.28,32.99
104.6@mountaineye1.Mountaineye,-,0.68,12.87,-43.02
104.6@mountaineye1.Mountaineye,-,4.70,143.76,-0.66
104.6@mountaineye1.Mountaineye,104.7@mountaineye1.Mountaineye,2.26,219.83,21.77
104.7@mountaineye1.Mountaineye,-,0.32,202.45,56.66
104.7@mountaineye1.Mountaineye,-,0.77,144.48,-56.57
104.7@mountaineye1.Mountaineye,-,0.59,151.47,-34.40
104.7@mountaineye1.Mountaineye,-,0.31,328.08,-15.03
104.7@mountaineye1.Mountaineye,104.8@mountaineye1.Mountaineye,9.32,269.79,2.53
104.8@mountaineye1.Mountaineye,-,4.86,358.71,1.53
104.8@mountaineye1.Mountaineye,-,6.99,48.74,-3.41
104.8@mountaineye1.Mountaineye,-,7.97,146.17,1.60
104.8@mountaineye1.Mountaineye,-,8.80,128.83,1.04
104.8@mountaineye1.Mountaineye,-,7.45,182.41,-0.15
104.8@mountaineye1.Mountaineye,-,0.21,160.77,63.12
104.8@mountaineye1.Mountaineye,-,2.47,106.75,-4.66
104.8@mountaineye1.Mountaineye,-,16.66,226.09,-1.43
104.8@mountaineye1.Mountaineye,-,6.61,305.13,1.51
104.8@mountaineye1.Mountaineye,104.9@mountaineye1.Mountaineye,19.16,249.21,-0.20
104.9@mountaineye1.Mountaineye,-,0.85,55.32,56.35
104.9@mountaineye1.Mountaineye,-,4.09,355.47,2.88
104.9@mountaineye1.Mountaineye,-,8.12,26.51,0.87
104.9@mountaineye1.Mountaineye,-,7.48,133.11,-1.63
104.9@mountaineye1.Mountaineye,-,5.46,89.79,-23.85
104.9@mountaineye1.Mountaineye,-,5.70,303.51,7.77
104.9@mountaineye1.Mountaineye,-,7.47,215.37,8.19
104.9@mountaineye1.Mountaineye,104.10@mountaineye1.Mountaineye,7.40,272.15,18.04
104.10@mountaineye1.Mountaineye,-,0.28,180.28,51.87
104.10@mountaineye1.Mountaineye,-,4.13,124.41,-35.34
104.10@mountaineye1.Mountaineye,-,9.49,111.45,-6.22
104.10@mountaineye1.Mountaineye,-,6.49,74.04,-11.50
104.10@mountaineye1.Mountaineye,-,0.59,355.54,0.20
104.10@mountaineye1.Mountaineye,-,6.68,177.14,-3.21
104.10@mountaineye1.Mountaineye,-,5.34,226.82,0.25
104.5@mountaineye1.Mountaineye,-,0.00,353.73,0.00
104.5@mountaineye1.Mountaineye,104.11@mountaineye1.Mountaineye,9.08,202.20,-3.29
104.11@mountaineye1.Mountaineye,-,2.22,190.13,-9.65
104.11@mountaineye1.Mountaineye,-,2.80,279.20,-4.40
104.11@mountaineye1.Mountaineye,104.12@mountaineye1.Mountaineye,17.07,246.86,1.70
1.8@mountaineye1.Mountaineye,105.0@mountaineye1.Mountaineye,50.00,353.73,0.00
1.19@mountaineye1.Mountaineye,106.0@mountaineye1.Mountaineye,0.00,353.73,0.00
106.0@mountaineye1.Mountaineye,-,3.35,121.22,-8.94
106.0@mountaineye1.Mountaineye,-,2.14,167.23,-13.68
106.0@mountaineye1.Mountaineye,-,4.27,151.08,-9.99
106.0@mountaineye1.Mountaineye,-,5.82,142.87,-8.34
